question_id,new_cognitive_level,basis
297,FOUNDATION,definition/concept
298,FOUNDATION,definition/concept
299,FOUNDATION,role/concept
300,FOUNDATION,framework/fact
301,FOUNDATION,role/concept
302,FOUNDATION,safety/principle
303,FOUNDATION,principle/purpose
304,FOUNDATION,nursing-process/fact
305,FOUNDATION,workflow/comparison
306,FOUNDATION,role/concept
307,CLINICAL_APPLICATION,priority-intervention
308,FOUNDATION,policy/fact
309,FOUNDATION,nursing-process/fact
310,FOUNDATION,definition/concept
311,CLINICAL_APPLICATION,ethical-action
312,FOUNDATION,documentation/purpose
313,FOUNDATION,principle/concept
314,FOUNDATION,nursing-process/fact
315,FOUNDATION,admission-role
316,CLINICAL_APPLICATION,patient-situation
317,FOUNDATION,ethics/principle
318,FOUNDATION,workflow/sequence
319,CLINICAL_APPLICATION,patient-support
320,FOUNDATION,definition/population
321,FOUNDATION,nursing-process/concept
322,FOUNDATION,evidence-based-practice
323,FOUNDATION,education/purpose
324,CLINICAL_APPLICATION,team-action
325,CLINICAL_APPLICATION,clinical-assessment
326,FOUNDATION,role/concept
327,FOUNDATION,definition/criteria
328,FOUNDATION,criteria/fact
329,FOUNDATION,principle/concept
330,FOUNDATION,triage-definition
331,FOUNDATION,assessment-purpose
332,CLINICAL_REASONING_ANALYSIS,clinical-interpretation
333,CLINICAL_REASONING_ANALYSIS,pathophysiology
334,CLINICAL_REASONING_ANALYSIS,mechanism/risk
335,FOUNDATION,procedure/fact
336,CLINICAL_APPLICATION,clinical-assessment
337,CLINICAL_REASONING_ANALYSIS,clinical-inference
338,FOUNDATION,threshold/fact
339,FOUNDATION,threshold/fact
340,CLINICAL_REASONING_ANALYSIS,pathophysiology
341,FOUNDATION,procedure/fact
342,FOUNDATION,triad/fact
343,FOUNDATION,workflow/sequence
344,FOUNDATION,history/fact
345,CLINICAL_REASONING_ANALYSIS,clinical-inference
346,FOUNDATION,sign/fact
347,CLINICAL_REASONING_ANALYSIS,differential-comparison
348,CLINICAL_REASONING_ANALYSIS,pathophysiology
349,FOUNDATION,triad/fact
350,CLINICAL_REASONING_ANALYSIS,clinical-inference
351,FOUNDATION,sign/fact
352,CLINICAL_REASONING_ANALYSIS,pathophysiology
353,CLINICAL_APPLICATION,priority-intervention
354,CLINICAL_APPLICATION,clinical-safety
355,FOUNDATION,goal/fact
356,FOUNDATION,workflow/purpose
357,FOUNDATION,classification/fact
358,FOUNDATION,organization/fact
359,CLINICAL_REASONING_ANALYSIS,pathophysiology
